,MITNet-Adam,MITNet-AdamW,BioMITNet-Adam,BioMITNet-AdamW
Accuracy,0.8564940962761126,0.8583106267029973,0.9500454132606722,0.963669391462307
ROC-AUC Score,0.784896486825596,0.7871685762398467,0.965495608531995,0.9749058971141782
F1 Score,0.7063197026022305,0.7100371747211895,0.9170437405731523,0.9382716049382716
